treatment	stain	dosed_dpi	harvest_dpi	animal	mean_ihc_score
ASO 6	Iba1	30	150	3	0.5
ASO 6	Iba1	30	150	4	0.4166666666666667
ASO 6	Iba1	60	150	1	0.16666666666666666
ASO 6	Iba1	60	150	2	0.3333333333333333
ASO 6	Iba1	60	150	3	0.4444444444444444
ASO 6	Iba1	60	150	4	0.4
ASO 6	Iba1	90	150	1	0
ASO 6	Iba1	90	150	2	0.08333333333333333
ASO 6	Iba1	90	150	3	0.16666666666666666
ASO 6	Iba1	90	150	4	0.16666666666666666
ASO 6	Iba1	123	150	1	0.3333333333333333
ASO 6	Iba1	123	150	2	0
ASO 6	Iba1	123	150	3	0.08333333333333333
ASO 6	Iba1	123	150	4	0.16666666666666666
ASO 6	PrP	-14	150	1	0.25
ASO 6	PrP	-14	150	2	
ASO 6	PrP	-14	150	3	0.16666666666666666
ASO 6	PrP	-14	150	4	0.16666666666666666
ASO 6	PrP	30	150	1	0.08333333333333333
ASO 6	PrP	30	150	2	0.3333333333333333
ASO 6	PrP	30	150	3	0.3333333333333333
ASO 6	PrP	30	150	4	0.5
ASO 6	PrP	60	150	1	0.08333333333333333
ASO 6	PrP	60	150	2	0.08333333333333333
ASO 6	PrP	60	150	3	0.25
ASO 6	PrP	60	150	4	0.2222222222222222
ASO 6	PrP	90	150	1	0.08333333333333333
ASO 6	PrP	90	150	2	0.3333333333333333
ASO 6	PrP	90	150	3	0.16666666666666666
ASO 6	PrP	90	150	4	0.08333333333333333
ASO 6	PrP	123	150	1	0.5
ASO 6	PrP	123	150	2	0.08333333333333333
ASO 6	PrP	123	150	3	0.5833333333333334
ASO 6	PrP	123	150	4	0.5
ASO 7	ASO	-14	150	1	0.3076923076923077
ASO 7	ASO	-14	150	2	0.23076923076923078
ASO 7	ASO	-14	150	3	0.23076923076923078
ASO 7	ASO	-14	150	4	0.3076923076923077
ASO 7	ASO	30	150	1	0.38461538461538464
ASO 7	ASO	30	150	2	0.3076923076923077
ASO 7	ASO	30	150	3	0.3076923076923077
ASO 7	ASO	30	150	4	0.3076923076923077
ASO 7	ASO	60	150	1	1.0769230769230769
ASO 7	ASO	60	150	2	0.6153846153846154
ASO 7	ASO	60	150	3	0.6923076923076923
ASO 7	ASO	60	150	4	0.38461538461538464
ASO 7	ASO	90	98	1	2.4615384615384617
ASO 7	ASO	90	98	2	2.4
ASO 7	ASO	90	98	3	2.6666666666666665
ASO 7	ASO	90	98	4	2.3846153846153846
ASO 7	ASO	123	131	1	2.6923076923076925
ASO 7	ASO	123	131	2	2.8461538461538463
ASO 7	ASO	123	131	3	2.8461538461538463
ASO 7	ASO	123	131	4	2.8461538461538463
ASO 7	GFAP	-14	150	1	0.75
ASO 7	GFAP	-14	150	2	0.6363636363636364
ASO 7	GFAP	-14	150	3	0.25
ASO 7	GFAP	-14	150	4	0.6666666666666666
ASO 7	GFAP	30	150	1	0.8333333333333334
