gene	log2fold_change	base_mean	pvalue	padj	celltype
A830052D11Rik	-0.4461611145716975	1.8910874926768195	0.26671927668512985	0.6664432456493801	0_none
Ccn4	0.30173387061250206	7.670857092753415	0.2668513533534279	0.6664432456493801	0_none
Ercc4	-0.1878477746467507	13.629070619997334	0.26693102652204415	0.6664432456493801	0_none
Erlec1	0.11634495924839686	39.2831949352504	0.26680064268278625	0.6664432456493801	0_none
Hmces	-0.13347615503622284	26.19217280374551	0.2667722565671905	0.6664432456493801	0_none
Kdm6b	0.12838563768100428	26.887470132858542	0.26695461927639713	0.6664432456493801	0_none
Neu2	-0.32858811252619013	4.235681555524514	0.26679651679169375	0.6664432456493801	0_none
Oxr1	-0.06491831488183744	152.273451956655	0.26681160248748	0.6664432456493801	0_none
Pak2	-0.11098906989246848	61.71311298576786	0.2669518797902107	0.6664432456493801	0_none
Rskr	-0.35625585933761883	3.953266588512473	0.26664454310187935	0.6664432456493801	0_none
Shisal1	-0.11450370238907943	65.76234087497595	0.26664292384521443	0.6664432456493801	0_none
Slc35d2	0.4106732959571815	2.757037205480507	0.2666094696846566	0.6664432456493801	0_none
Syt9	-0.13497738994269873	32.55487149073584	0.2664702181296779	0.6664432456493801	0_none
Tusc2	-0.06311889672916632	204.89479276545393	0.26636893464070815	0.6663546261091543	0_none
Cenpf	0.32646830815819	4.728117779170407	0.2662317400057029	0.6662960767086926	0_none
Nphs1	0.8624637985821658	2.000185813188489	0.26630623448070356	0.6662960767086926	0_none
Tamalin	0.12554533290922917	76.51166830779445	0.2661533272581388	0.6662960767086926	0_none
Thsd4	-0.18033581530223697	16.470264976655514	0.26627360096044195	0.6662960767086926	0_none
Ywhaz	0.05733226602345167	1749.6492726125755	0.26622692151893684	0.6662960767086926	0_none
Slc35e2	0.11771885723551628	36.25326772152412	0.2661041877720875	0.6662821334706904	0_none
Tnik	-0.07412853485482089	116.53661696716364	0.2659728746164095	0.6660517001913808	0_none
6430503K07Rik	0.5622600553651611	1.5977038433820887	0.2659267367843484	0.6660345271662351	0_none
A730020M07Rik	0.7177121968484428	1.279471980291084	0.2658625492435599	0.6660345271662351	0_none
Stx3	0.10112310446799856	56.158838613899206	0.26590833817441684	0.6660345271662351	0_none
Cabp4	0.4301952206458832	2.935660422507494	0.2657441994312101	0.6659524844412901	0_none
Meis3	-0.1034765486153296	66.88350871161742	0.2657761537045418	0.6659524844412901	0_none
Zfp672	0.13909810428612143	31.92629795744614	0.26569831171410485	0.6659524844412901	0_none
Orc4	-0.13126451362992353	29.712421883717315	0.2656000267531937	0.6658063355451143	0_none
Cyp20a1	0.12844097568908222	29.787027892303353	0.26545785782818965	0.6657303312020749	0_none
Ly6g6d	-0.4890985978525749	1.716117823124224	0.2654403195753478	0.6657303312020749	0_none
Magee2	-0.25965813292414075	6.8316980349790475	0.26552702969416636	0.6657303312020749	0_none
Rin1	0.12278922236406728	40.261587610836195	0.2655304452653711	0.6657303312020749	0_none
Rpl8	0.0864899662751766	519.5111213460907	0.26551523683408074	0.6657303312020749	0_none
Dusp2	0.32934364847894715	6.56654432868834	0.26524998639513125	0.6655192023255173	0_none
Gm50024	0.1391149241937548	250.3646708536172	0.2651674847791664	0.6655192023255173	0_none
Kdm2a	0.12532842962036828	51.96802318487006	0.26518778086629924	0.6655192023255173	0_none
Melk	0.7788859939095615	0.8213951395456396	0.2652205377835447	0.6655192023255173	0_none
Ppa1	-0.05969896772346605	196.40148505337183	0.2651852826578587	0.6655192023255173	0_none
Bglap3	1.4706807398076294	0.8472796459608324	0.2649537154272102	0.665268058460503	0_none
Dyrk4	-0.7107998675909296	0.9322290517961952	0.2647372323420075	0.665268058460503	0_none
Gm18283	0.8760017051397266	1.2495946524510009	0.2649209762143545	0.665268058460503	0_none
Hspb3	0.294855121782659	5.4795397004575745	0.26475546869828087	0.665268058460503	0_none
