gene	gene_length_bp	base_mean	log2fold_change	padj
Hmg20b	4432	45.881029991233774	9.40359614574074e-4	0.9993584177209928
Rwdd4a	19291	32.65918037931154	-8.304793567530494e-4	0.9993584177209928
Sema3c	155987	11.944294308034236	0.00141351674237694	0.9993584177209928
Senp5	43615	46.36299171382997	-7.43349570929435e-4	0.9993584177209928
Urm1	24927	125.75013825954588	-6.256957071689782e-4	0.9993584177209928
Dhx16	12851	34.984674455865566	-9.159339762871728e-4	0.9991613347988122
Gm45321	130069	1.5910748800460894	0.00458457538417273	0.9991613347988122
Mipep	120905	20.54878716796565	0.00137987473875478	0.9991613347988122
Tanc2	339318	80.04715429772638	8.292592765844558e-4	0.9991613347988122
Ttll11	228672	40.714208144392465	-9.638191650913288e-4	0.9991613347988122
Arhgap11a	17169	2.809022989731577	0.0032508599210907	0.9991064241507884
Cldn4	1815	2.38434929379086	-0.0040414749271686	0.9991064241507884
Mphosph9	77013	23.209471832480286	0.00120568003911151	0.9991064241507884
Zranb2	14250	153.03764912356326	5.601433798628235e-4	0.9991041987731288
Trim36	47307	4.5360877039981355	0.00288464010889291	0.9989945610661504
A530072M11Rik	102115	5.3797641430136105	0.00243443375135668	0.9987102373325104
Gps1	4830	112.087658053498	0.00108671037336248	0.9987102373325104
Ikbip	19667	25.38551552291274	-0.001305251319753	0.9987102373325104
Nusap1	32946	2.386043393146973	0.00419729805177559	0.9987102373325104
1810030O07Rik	18789	63.485124317508586	9.023077243647304e-4	0.9986920095656312
Gm27004	726	0.8391523062495941	-0.00667080424990786	0.9986920095656312
Bcl2l13	56630	31.63606400094767	-0.00125441740976515	0.99838405393686
Dnajc10	38577	114.57946727896632	-7.205699411173609e-4	0.99838405393686
Gm26873	22050	1.3627666412643118	0.00624094207698034	0.99838405393686
Lrrk2	142945	14.409380667044092	0.00183855714240551	0.99838405393686
Mosmo	57236	38.59716819824264	-0.00112294570063025	0.99838405393686
Mrpl21	9936	102.4222790438748	8.236627707181902e-4	0.99838405393686
Myh8	31510	1.3925036383996474	0.00566223940477191	0.99838405393686
Ndc1	48562	27.03285897108772	0.00151355593142067	0.99838405393686
Snx30	98897	28.449722166321106	0.0013943134154065	0.99838405393686
Zfp7	13136	9.385157766678388	0.0024176347065874	0.99838405393686
Cdh4	456942	26.288607960666276	0.00139974096485169	0.9983711084695772
Chm	144924	24.140069561246335	-0.00156715745049649	0.9983711084695772
Hey2	10442	3.515668220971946	-0.00432714747636755	0.9983711084695772
Mgme1	10564	17.258775841665663	-0.00168855927099602	0.9983711084695772
Atpif1	3104	815.9923947672235	5.735323751970383e-4	0.9982263104206824
Dhrs3	35382	27.262894060356757	-0.00146210966484598	0.9982263104206824
Ppt1	22933	99.97170456622533	8.536899397637354e-4	0.9982263104206824
Zfp990	28429	1.363800462984764	0.00684364865584623	0.99815693682385
Lrrc8d	132467	43.21262325263715	-0.00113457601214792	0.9981336824317162
Slc6a6	75013	93.7751456378966	-0.0010531408428272	0.9981336824317162
Selplg	14108	27.448158413613353	-0.00200878014930901	0.9981119247222302
1700001L19Rik	16810	13.437680953361758	0.00219796025381206	0.9979786919689484
mt-Rnr1	954	16640.304256441097	-5.386715675688984e-4	0.9979171172129984
Zfp772	7881	20.15566686648043	0.00171262859261071	0.9978960585791876
Asns	18085	92.88132233105144	-9.761003824584986e-4	0.9978803387800156
Ppil6	23847	7.888973140050863	-0.00296057258236302	0.997842413011554
Rnf20	24881	74.95355736972532	-0.00107437752941943	0.997842413011554
Atpsckmt	19375	13.027483818955334	0.00258717189495321	0.997797290813738
Igsf9	17090	18.44669053826524	0.00247117050006065	0.997797290813738
Polr2k	3000	190.3020651113575	-9.8375410981211e-4	0.9976689383297564
0610040J01Rik	87262	8.057169596952916	-0.00318291864103449	0.9976524229948172
Mns1	24014	3.114707616827512	0.00538422434598962	0.9976524229948172
Ppia	4374	1070.775713551966	6.632451729119659e-4	0.9976524229948172
Gm12999	914	3.7112194543173342	0.00465742067487073	0.9976422683825692
Plppr5	204423	24.90746641758906	0.00196805726826038	0.9976422683825692
Ttc1	18496	72.51717460253607	-0.0012446400248333	0.9976422683825692
Gm10288	536	773.9480917709914	-0.00152053050588507	0.9976294351063316
Card6	12558	3.8859094410204422	-0.0044621676900472	0.997593703089766
Dnal1	33132	44.94373728138268	-0.00146126060845483	0.997593703089766
