FeatureID,FeatureName,microglia Average,microglia Log2 Fold Change,microglia P-Value
ENSMUSG00000058600,Rpl30,1.1921423036536125,0.9173343472042849,0.8894857399244117
ENSMUSG00000040270,Bach2,1.7860596301802314,0.9148583895524681,0.8910455879665421
ENSMUSG00000034613,Ppm1h,2.5054372804427545,0.9101674972366933,0.8974422353043351
ENSMUSG00000038332,Sesn1,1.8345206994344434,0.9059934542994728,0.9010656201635865
ENSMUSG00000027303,Ptpra,1.8425975443101454,0.9055511731393363,0.9010997928935386
ENSMUSG00000064345,mt-Nd2,1.0747588247934103,0.9073292399246412,0.9023996563650389
ENSMUSG00000002985,Apoe,5.630637791014375,0.9031622651804654,0.9057893242419992
ENSMUSG00000052146,Rps10,1.2029114301545485,0.9013899860674358,0.9070643901408139
ENSMUSG00000035992,Fnip1,1.2632185385597898,0.8997332453534997,0.908476020252003
ENSMUSG00000105361,AY036118,4.363650058179257,0.8965594162633663,0.9111345571874224
ENSMUSG00000033487,Fndc3a,1.0876817765945335,0.8964047997192344,0.9123683076028893
ENSMUSG00000041453,Rpl21,1.6632915880695613,0.8946042734783137,0.9146527086333553
ENSMUSG00000071415,Rpl23,1.407524833672332,0.8932276875399018,0.9158812272971392
ENSMUSG00000026341,Actr3,1.1485273413248218,0.8917816659519212,0.9165809782683632
ENSMUSG00000022749,Tbc1d23,1.1948345852788465,0.8874021413052222,0.9207531370444929
ENSMUSG00000019916,P4ha1,1.2885259858369895,0.8872242733225864,0.9208086428968513
ENSMUSG00000046330,Rpl37a,1.4263708050489698,0.8866554174595472,0.9216837004504429
ENSMUSG00000020522,Mfap3,1.083912582319206,0.8855087501416212,0.9223298183640436
ENSMUSG00000026131,Dst,6.119017677831821,0.8828999597162279,0.9232902421946325
ENSMUSG00000042331,Specc1,2.556052174997154,0.883041419059176,0.9238524917029391
ENSMUSG00000063873,Slc24a3,1.8829817686886552,0.8827934933818136,0.9250101900140374
ENSMUSG00000071369,Map3k5,1.3526022885175584,0.8826912985232391,0.9250101900140374
ENSMUSG00000041763,Tpp2,1.0510667464913512,0.8812813626070868,0.927060494467467
ENSMUSG00000054737,Zfp182,1.0338361440898536,0.8787585189052244,0.929580268209592
ENSMUSG00000027782,Kpna4,1.6864452100465737,0.8754627079077275,0.9318717168642761
ENSMUSG00000006699,Cdc42,2.249132069720478,0.8749399100607727,0.9318717168642761
ENSMUSG00000061477,Rps7,1.1356043895236985,0.8765997070440427,0.9318717168642761
ENSMUSG00000033697,Arhgap39,1.6632915880695613,0.8712773953285171,0.9359875251608714
ENSMUSG00000028790,Khdrbs1,1.0537590281165852,0.8642177052768485,0.9434314597230974
ENSMUSG00000024251,Thada,1.0332976877648068,0.8639496969605742,0.9434314597230974
ENSMUSG00000026034,Clk1,2.191517242940471,0.8606732684351075,0.9445301482455036
ENSMUSG00000032097,Ddx6,1.054297484441632,0.8601167619358288,0.9462432022823958
ENSMUSG00000063457,Rps15,1.0962970777952823,0.8605498181518274,0.9462432022823958
ENSMUSG00000047126,Cltc,1.6035229359893668,0.8583135081559248,0.9478561391630322
ENSMUSG00000014195,Dnajc7,1.172219419626881,0.8579166899190812,0.9485958201027304
ENSMUSG00000025508,Rplp2,1.1307582825982774,0.8579654603047837,0.9491204754838857
ENSMUSG00000037266,Rsrp1,5.114258175294495,0.8554763139320951,0.9495521685569275
ENSMUSG00000022283,Pabpc1,1.1560657298754768,0.8555793366451414,0.9502718117691368
ENSMUSG00000054391,4930517O19Rik,1.0117594347629348,0.8535718756475054,0.9527240957144434
ENSMUSG00000039968,Rsbn1l,1.2901413548121299,0.8522093077199822,0.9538896749965636
ENSMUSG00000057863,Rpl36,1.0069133278375137,0.8517397516307094,0.9551975654516192
ENSMUSG00000078671,Chd2,1.8081363395071501,0.8468698287411773,0.9595999339577016
ENSMUSG00000036879,Phkb,1.0796049317188314,0.8477849058529067,0.9595999339577016
ENSMUSG00000008348,Ubc,1.0289900371644325,0.8475348536863089,0.959797107690164
ENSMUSG00000021134,Srsf5,1.8469051949105197,0.8451874458265695,0.9612484010026402
ENSMUSG00000074884,Serf2,1.2782953156611003,0.8454114094025001,0.9615803982861059
ENSMUSG00000059291,Rpl11,1.316525714739423,0.8424288256366681,0.9658136065628055
ENSMUSG00000060012,Kif13b,1.0634512419674276,0.8387343160746121,0.9693495557820605
ENSMUSG00000054611,Kdm2a,1.4199093291484084,0.8366640081015913,0.9702576335715277
ENSMUSG00000032405,Pias1,1.5647540805859972,0.8359913809841842,0.9710397830791448
ENSMUSG00000035268,Pkig,1.5216775745822533,0.8342847912804751,0.9718806637937896
ENSMUSG00000057322,Rpl38,1.8178285533579925,0.8242292421096452,0.9808930837446136
ENSMUSG00000022105,Rb1,1.3240641032900782,0.8225733531471382,0.9812778827496221
ENSMUSG00000047675,Rps8,2.434899501861624,0.8215636676404988,0.9819436988490983
ENSMUSG00000032217,Rnf111,1.3321409481657802,0.8180822766232483,0.9858700851172977
ENSMUSG00000000740,Rpl13,2.0262111511511036,0.8149495352213415,0.9894810961200301
ENSMUSG00000027248,Pdia3,1.1576810988506174,0.8140876707218112,0.9900328097039864
ENSMUSG00000041408,Wapl,1.1754501575771616,0.8052894788860808,0.9960605819178795
ENSMUSG00000006304,Arpc2,1.5448311965592656,0.8044852088705523,0.9966327330993685
ENSMUSG00000032518,Rpsa,1.3666021529687753,0.8052186882060497,0.9966327330993685
ENSMUSG00000034602,Mon2,1.1016816410457502,0.8043736004142181,0.9966327330993685
ENSMUSG00000020368,Canx,1.4064479210222383,0.8036292110649941,0.9973190738978891
ENSMUSG00000061665,Cd2ap,1.7354447356258325,0.8019109989417297,0.9990065786800455
ENSMUSG00000025907,Rb1cc1,1.3149103457642826,0.09111150119311856,1
ENSMUSG00000051285,Pcmtd1,1.5561387793852484,0.30011683496815933,1
ENSMUSG00000067851,Arfgef1,1.1000662720706098,0.1966214705992927,1
ENSMUSG00000005886,Ncoa2,1.5475234781844995,0.18571960490624762,1
ENSMUSG00000026155,Smap1,1.2217574015311863,0.12757541071627515,1
ENSMUSG00000048874,Phf3,1.5206006619321597,0.1527733139155527,1
ENSMUSG00000037503,Fam168b,1.1226814377225753,0.5818000676321625,1
ENSMUSG00000061518,Cox5b,1.2077575370799696,0.7684828416169831,1
ENSMUSG00000026083,Eif5b,1.1070662042962183,0.3493795390229685,1
