FeatureID,FeatureName,oligodendrocyte Average,oligodendrocyte Log2 Fold Change,oligodendrocyte P-Value
ENSMUSG00000025203,Scd2,10.457269251002682,3.770252053121248,1.723941631005925e-23
ENSMUSG00000024597,Slc12a2,4.324777588806967,3.74938167256317,4.8857570737205965e-23
ENSMUSG00000006301,Tmbim1,1.582578493469862,3.746039375734306,7.372848122482452e-23
ENSMUSG00000049493,Pls1,2.6578726943780873,3.7450455940243392,7.372848122482452e-23
ENSMUSG00000020696,Rffl,2.081907465186308,3.723886926268889,1.8072683019821436e-22
ENSMUSG00000025503,Taldo1,2.6740485134299745,3.703626274126865,3.7456403575250666e-22
ENSMUSG00000057963,Itpk1,2.5610829574282716,3.6981987539251673,5.021526887922254e-22
ENSMUSG00000044340,Phlpp1,12.395715763614056,3.6508418549102974,2.506376389561833e-21
ENSMUSG00000037419,Endod1,1.1763267756421427,3.662706647515281,3.076044762822589e-21
ENSMUSG00000035342,Lzts2,1.3505483021518108,3.6397237100505695,6.460766059351052e-21
ENSMUSG00000053024,Cntn2,2.2396879952825826,3.6021332556893135,2.3564786175453734e-20
ENSMUSG00000055717,Slain1,2.9209286369923806,3.5999778958202153,2.3564786175453734e-20
ENSMUSG00000020023,Tmcc3,2.7774676844174486,3.582356396860297,5.35572119565684e-20
ENSMUSG00000037196,Pacrg,6.369029868659374,3.5681949199686764,7.619736115414402e-20
ENSMUSG00000058325,Dock1,2.6048372220768186,3.5656999819251274,8.671472652519721e-20
ENSMUSG00000024516,Sec11c,3.5470123875088593,3.5418305411245274,2.0919994421288187e-19
ENSMUSG00000030880,Polr3e,2.9731685772091305,3.5348271730833662,2.9954455738314414e-19
ENSMUSG00000001786,Fbxo7,2.0370924910917356,3.533486733221003,3.12554593495973e-19
ENSMUSG00000022885,St6gal1,2.613588075006528,3.4992644776597714,1.0989144719112162e-18
ENSMUSG00000025997,Ikzf2,1.459271020369412,3.4648736333367465,4.496956448150222e-18
ENSMUSG00000026888,Grb14,3.5804247350586587,3.452805714536369,5.373378445918732e-18
ENSMUSG00000105265,Sox2ot,8.87469075753282,3.441327947311506,7.949654825173929e-18
ENSMUSG00000024381,Bin1,7.083682857918971,3.430293825268928,1.0482747758088664e-17
ENSMUSG00000025880,Smad7,2.6939368155429504,3.434319337700721,1.0585707512999714e-17
ENSMUSG00000038695,Josd2,2.17604542852106,3.4351226697012907,1.0815536247677683e-17
ENSMUSG00000003534,Ddr1,2.272304810747863,3.4231379538211266,1.5683351610006504e-17
ENSMUSG00000038481,Cdk19,5.185808481618066,3.413439861608103,1.9322740792512803e-17
ENSMUSG00000066113,Adamtsl1,1.8411264209385474,3.4137762538623635,2.688601470514143e-17
ENSMUSG00000006651,Aplp1,16.768225277492167,3.3972773116152974,3.0967789921404923e-17
ENSMUSG00000024812,Tjp2,1.3195225508555686,3.4001934624353063,4.0818660298213295e-17
ENSMUSG00000024985,Tcf7l2,1.084840585922454,3.4047232477526532,4.266430738243687e-17
ENSMUSG00000025375,Aatk,3.1033706617087455,3.3813429074219497,6.105616005798448e-17
ENSMUSG00000033595,Lgi3,1.865522738197131,3.3849507998483883,6.322205275630635e-17
ENSMUSG00000031918,Mtmr2,1.7687330012473155,3.3829362923804327,6.654552115619303e-17
ENSMUSG00000063458,Lrmda,2.0556549063971796,3.383193390430486,8.118549136880008e-17
ENSMUSG00000021375,Kif13a,3.4107112236945984,3.3528483606464565,1.5397504163571526e-16
ENSMUSG00000028525,Pde4b,36.119278056056125,3.3036678488802513,6.731539823279625e-16
ENSMUSG00000000708,Kat2b,1.0410863212739072,3.316884800005015,6.857635464199991e-16
ENSMUSG00000060012,Kif13b,5.306994535826465,3.292461124495028,1.0260776678223821e-15
