FeatureID,FeatureName,astrocyte Average,astrocyte Log2 Fold Change,astrocyte P-Value
ENSMUSG00000036565,Ttyh3,2.370251805216206,2.764976083581238,8.649546472274988e-24
ENSMUSG00000051910,Sox6,3.7021704246429716,2.751462601522848,1.9494246444741967e-23
ENSMUSG00000025203,Scd2,4.9329443810890155,2.7216854729277684,7.697496441520936e-23
ENSMUSG00000037706,Cd81,5.59506275423351,2.7199771030744087,7.756921040031729e-23
ENSMUSG00000028444,Cntfr,1.0436514056540547,2.7240178370833696,8.614416793912922e-23
ENSMUSG00000037697,Ddhd1,4.122211308394462,2.712499342686092,1.1100933145328326e-22
ENSMUSG00000037509,Arhgef4,2.0993180487800163,2.6928315625443755,3.2461680686993843e-22
ENSMUSG00000024302,Dtna,10.952873811173388,2.6641594770133024,1.1021737652223372e-21
ENSMUSG00000027562,Car2,1.5082077593834287,2.6707159544081023,1.4355327992050572e-21
ENSMUSG00000038679,Trps1,6.91673887614324,2.6554331325099003,1.72464967558656e-21
ENSMUSG00000055737,Ghr,1.9954157903139382,2.655466120033344,2.0292607057682227e-21
ENSMUSG00000031760,Mt3,6.173172950627706,2.6134301913960916,1.264421479714542e-20
ENSMUSG00000042680,Garem1,2.225576527788084,2.599994239010909,2.5625834250473965e-20
ENSMUSG00000040957,Cables1,1.3648127941449364,2.597711147037165,3.1706139062694385e-20
ENSMUSG00000027332,Ivd,1.8884604797033593,2.5937009183762987,3.3413852635839323e-20
ENSMUSG00000039701,Usp53,2.346221330272393,2.574381532443088,8.10327027787471e-20
ENSMUSG00000031467,Agpat5,2.1457047442658195,2.5641270437729524,1.2729944888549097e-19
ENSMUSG00000026827,Gpd2,1.0003177623127522,2.538899596566787,4.673645372968387e-19
ENSMUSG00000097063,Pantr2,1.1678416880481062,2.534279550413709,5.126920248105133e-19
ENSMUSG00000025059,Gk,1.1802508677322066,2.5312103868356814,5.983574009808105e-19
ENSMUSG00000095930,Nim1k,1.9988627846706326,2.5236004624446764,7.502802401450513e-19
ENSMUSG00000037712,Fermt2,2.8914373519484187,2.5170651467320493,9.524796959704723e-19
ENSMUSG00000036402,Gng12,1.578526444259997,2.503956190252641,1.8823923757732452e-18
ENSMUSG00000025026,Add3,2.519063475872361,2.4956489163202784,2.4154304173323403e-18
ENSMUSG00000039197,Adk,5.015967702308829,2.452534407356452,1.3559953214887966e-17
ENSMUSG00000034235,Usp54,1.6267843652537204,2.4508286853155585,1.682768548410333e-17
ENSMUSG00000038143,Stox2,5.411190226692119,2.4464485762974317,1.7470425320805698e-17
ENSMUSG00000021792,Prxl2a,1.728913883764927,2.4302219755057353,3.760737824012488e-17
ENSMUSG00000035133,Arhgap5,5.87466323933796,2.4248786209406985,4.14622788227365e-17
